"Date","Headline","Place","Name","Story"
"3/7/2013","HATT STREET","Hatt Street is in Dundas and runs between Main Street and Bond Street South. It is a heavy travelled thoroughfare and runs parallel to King Street.","It is named for Richard Hatt, generally considered the founder of Dundas.","Hatt came to the Ancaster area in the late 1790s and opened a grist mill. He relocated to the Dundas area in about 1800 and helped build a road between Dundas and Ancaster, a flour mill, a store, school house, a courthouse and a blacksmith shop. By 1809, the community was known as Dundas Mills. After the War of 1812, he was elected to the legislature for the riding of Halton and became the owner of the Upper Canada Phoenix, the first newspaper at the head of Lake Ontario. He died in 1819 at age 50 and is believed to be buried in an Ancaster colonial graveyard rediscovered in 2004. It is off Lime Kiln Road."
"2/5/2013","HELEN DETWILER SCHOOL","Helen Detwiler School is at 320 Brigade Dr. on the Mountain.","Detwiler was a teacher, trustee and a former chair of the Hamilton Board of Education who died in 1991 at the age of 80.","Detwiler gave nearly 60 years of her life to education as a teacher at several Hamilton schools until her retirement in 1970. After that she became a trustee for Ward 7, serving as chair in 1981."
"2/8/2013","HENDRIE GATES","The Hendrie Gates are on Royal Botanical Gardens property, north of Plains Road West.","William Hendrie (1831 to 1906) founded a successful freight hauling company and was known for horse breeding.","In 1931, a century after Hendrie's birth, his family donated 49 hectares of land that became the Royal Botanical Gardens. At the same time, the family commissioned ""a magnificent set of wrought iron gates, to be used in constructing an entrance marker to Hendrie Park."""
"5/6/2013","Herkimer Street","Herkimer Street runs east from MacDonald Avenue to James Street in downtown Hamilton.","The street is named in tribute to the Herkimer family, some of the first settlers in Kingston, Ont., after the Revolutionary War.","According to the book Hamilton Street Names, George Hamilton - founder of the city - named the street after his father's second wife, Mary Herchimer (a later variant of the name). His father's and Mary's first spouses had both died."
"1/8/2013","HESS STREET","Hess Street runs between the escarpment and Stuart Street and is part of Hess Village, a popular cluster of downtown bars and nightclubs.","Peter Hess (1779 to 1855) was the son of Michael Hess, who came to Hamilton with his family in the late 1700s and lived on Hamilton Mountain.","After Peter Hess moved out of the family homestead, he acquired a section of property below the escarpment between Queen and Bay streets. He became an original stockholder of the Gore Bank, one of the first in the area, which was located on Hess's land."
"9/3/2013","HMCS Haida","At Pier 9, 658 Catharine St. N. on the bayfront in Hamilton.","MCS Haida is named for the Haida people of the Queen Charlotte Islands, also known as Haida Gwaii, in British Columbia.","Haida was a destroyer in the ""Tribal class, "" with its vessels named after indigenous groups across the British Commonwealth. The decommissioned warship is a National Historic Site and has been docked in Hamilton for 10 years."
"1/7/2013","Holbrook elementary school","The school is on Sanatorium Road, near West 33rd Street on the west Mountain.","It is named for Dr. John Holbrook (1876 to 1958), who was director of the Sanatorium for the Treatment of Tuberculosis (now Chedoke Hospital). He donated land for the school, and his former home is behind it.","The school opened in 1962, a few years after an apple orchard was converted into the west Mountain’s newest subdivision. The laneway to Holbrook’s home is still visible west of the school. A new wing was added in the late 1960s after the baby boom increased the student population. The school now accommodates students from junior kindergarten through Grade 6."
"6/28/2013","HOWLANDMILLS DRIVE","Runs between Dundas Street East and Grindstone Way in Waterdown.","Sir William Pearce Howland (1811 to 1907) was a Toronto mill owner, a Father of Confederation and, among other government positions, served as the second Lieutenant Governor of Ontario from 1868 to 1873.","Howland is remembered in Waterdown for recognizing the community's industrial potential. He developed Waterdown Flouring Mills which was outfitting with state-of-the-art machinery and turned it into one of the largest mill operations in the area, according to local history author Margaret Houghton."
"12/5/2012","HUGHSON STREET","Hughson runs north-south in downtown Hamilton.","Nathaniel Hughson (1755-1837) was a United Empire Loyalist who received 700 acres of land now in Hamilton's core.","In the 1830s, Hughson started selling lots and streets began to form, such as James, named after his son. He donated land that was used for Christ Church Cathedral on James Street, but balked at a plan to donate a triangular piece of property that would have added to land offered by George Hamilton for a town square. George Hamilton's section became known as Gore Park and remains triangular in shape because of Hughson's decision."
"4/25/2013","HUNTER STREET","Hunter Street runs east-west between Emerald Street South and Richmond Street and is bisected by Victoria Avenue South and the Claremont Access.","It is named for Peter Hunter Hamilton, the younger half-brother of city founder George Hamilton.","Peter Hunter Hamilton bought property in the area after moving here in 1823. According to the book Hamilton Street Names, Peter was one of the city's first magistrates and served as president of the police board. He also served on the board of health during the 1832 cholera epidemic. Hunter Street West underwent a change in 1895 when the TH&B Railway built a tunnel under it. The tunnel, which cost $300,000 and three lives, opened on Dec. 28, 1895."
"5/29/2013","Inch Park","Inch Park, Hamilton","The park is named for Adam Inch, who was born in 1857 at Coulterhaugh, Scotland, and became a prominent local dairy farmer and politician.","Inch’s business interests included the Incline Railway Company, Barton and Binbrook Telephone Co. and Mount Hamilton Bus Lines. He also served on the Barton Township board of education and township council. Inch was prominent in the campaign to expand the city limits as the Mountain population grew. In 1929, Hamilton was extended south to Fennell Avenue. Landmarks in the neighbourhood named for him include Inch Park Arena."
"2/13/2013","IRVING ZUCKER SCULPTURE GARDEN","The Irving Zucker Sculpture Garden is part of the Art Gallery of Hamilton, in the adjacent Commonwealth Square.","Irving Zucker (1920-2002) was well-known for his philanthropy in Hamilton.","Zucker founded CHIQ broadcasting, then CHAM Radio and eventually put together a network of radio stations in Ontario and Eastern Canada. By the 1980s, he had sold his broadcasting interests and devoted himself to collecting art and philanthropy. The sculpture garden contains several sculptures that Zucker donated."
"3/28/2013","ISAAC BROCK DRIVE","Isaac Brock Drive runs from First Road West and curves north to Mud Street West.","Sir Isaac Brock was a famous and much respected British army officer from the War of 1812.","Brock is credited with successfully preparing and defending Upper Canada through the early months of the war. But on Oct. 13, 1812 he died at the Battle of Queenston Heights, which was still won by the British."
"10/22/2012","IVOR WYNNE STADIUM","Ivor Wynne Stadium is on Balsam Avenue North and is about to be converted into a new facility.","Ivor Wynne (1918-1970) was a local athlete, sportscaster and university administrator.","Ivor Wynne was born in Wales but he came to Hamilton in 1924. Here, he attended grade school, high school and McMaster University. He was a football colour commentator for CHCH for 16 years and worked as Mac's athletic director before becoming the dean of students. He became chairman of the city's parks board in 1967 and died three years later of a rare blood disease."
"9/28/2012","J.L. GRIGHTMIRE ARENA","J. L. Grightmire Arena on Market Street in Dundas.","James Louis Grightmire (1891-1963) was known for bus transportation and constructing sports facilities in Dundas.","Bert Edwards, a former mayor of Dundas, said in the early 1960s that ""in Dundas, if you swim, play golf, curl or even ride on the bus, you have reason to be grateful to James Grightmire."" Grightmire established a bus line between Hamilton and Dundas after the First World War. He also was a founder of the Dundas Golf and Curling Club, and was quoted as saying ""the course was built for the working man with fees to be kept as reasonable as possible."" He was involved in building the arena that bears his name. The facility was used for an NHL exhibition game in 2010 after Dundas was named Hockeyville in a national contest by the CBC."
"11/2/2012","JACKIE WASHINGTON ROTARY PARK","Jackie Washington Rotary Park is located on Wellington Street North in Hamilton.","Jackie Washington (1919-2009) was a much loved jazz and blues performer from Hamilton whose career spanned more than seven decades.","The park named for Washington in 2003 was near the North-End neighbourhood where the entertainer grew up. It was also the site of the infamous Plastimet fire in July 1997 and went through a major environmental cleanup over the years that followed. The Rotary Club of Hamilton donated $12,000 for trees as part of the land improvement."
"4/4/2013","JAMES MACDONALD SCHOOL","James MacDonald School is at 200 Chester Ave. on the Mountain.","MacDonald, who died in 1985 at the age of 80, was a longtime municipal politician and school board trustee.","He served as a school board trustee and as its chair, and as a Barton township councillor. Then, after Barton was annexed by Hamilton in 1960, he ran as a City of Hamilton alderman. He was re-elected continuously after that until his retirement in 1982."
"9/29/2012","JAMES N. ALLAN SKYWAY","The Burlington Bay James N. Allan Skyway, officially opened in 1958, is part of the Queen Elizabeth Way. It towers over the Beach Strip, crossing the Burlington Canal.","James Noble Allan (1894-1992) was a longtime politician, a mayor of Dunnville, an MPP for Haldimand-Norfolk and was minister of highways, finance minister and treasurer. He also was chair of the Niagara Parks Commission.","In 1984, the Burlington Skyway Bridge was renamed the Burlington Bay James N. Allan Skyway in his honour. Allan was minister of highways when construction began on the Skyway in 1954."
"9/15/2012","James Street","James Street runs from the bay to the escarpment through downtown Hamilton, and up the Mountain where it is known as Upper James Street.","James Hughson was a road builder who lived in the 1800s. Some mistakenly believe the street is named after King James.","James Hughson was a son of Nathaniel Hughson who was born in New York in 1755 and came to Canada as a United Empire Loyalist after the American Revolutionary War. He was given a 283-hectare parcel of land that would eventually become a major chunk of downtown Hamilton. As the community developed into the town of Hamilton, names for streets were needed. So Hughson offered James as a replacement to the street that was known as Jarvis Street."
"1/31/2013","JANET LEE SCHOOL","Janet Lee Elementary School is at 291 Winterberry Dr. in Stoney Creek.","Lee (1862-1940) and Adelaide Hoodless were cofounders of the Women's Institute, which promoted the education of isolated rural women by offering courses in areas such as cooking, sewing, home nutrition, child care and handicrafts. The concept spread around the world.","Lee was also a teacher who taught the first kindergarten class in Hamilton. Janet Lee Elementary School opened in 1987."
"1/3/2013","Jarvis","Jarvis is a village in Haldimand County, on Highway 6 between Hagersville and Port Dover.","The book Ontario Place Names says the post office opened in 1851 and was named after Lieutenant-Colonel William Jarvis, the aide-de-camp of Lieutenant-Governor John Graves Simcoe. Several streets in Jarvis are named after his daughters.","The village began when the Hamilton and Port Dover Plank Road was being built, in the 1840s. The first settler, James Shearman, built a log house, blacksmith shop and eventually a tavern to serve Plank Road travellers. Much of the village was destroyed in a fire in the mid-1870s, but was rebuilt by the end of the decade."
"12/6/2012","JARVIS STREET","Jarvis is a dead-end street that runs south from King William Street.","Robert Jarvis Hamilton (1811 to 1892) was the eldest son of the man for whom the City of Hamilton is named, George Hamilton.","Jarvis was also the maiden name of George Hamilton's wife, Maria Lavinia Jarvis. Robert Jarvis Hamilton worked as a banker."
"7/12/2013","JERSEYVILLE","It is a community in Ancaster, located at the crossroads of Jerseyville Road and Field Road. The Toronto, Hamilton and Buffalo (TH&B) Railway line between Brantford and Hamilton once ran through it and had a station there.","It got its name through the settlers who first came to the area.","Some might think it was named after settlers from the island of Jersey off the coast of Britain, or even the type of cows raised by a first farmer. According to Ancaster's Heritage by the Ancaster Township Historical Society, it got its name because it was settled principally by Methodists from New Jersey. They came to the area after the American War of Independence. It was initially known as the Jersey Settlement."
"1/12/2013","JIMMY LOMAX BEACH BOULEVARD PARK","Jimmy Lomax Beach Boulevard Park is located at 1120 Beach Blvd.","Lomax (1943-2011), who made his living as a steelworker, was known as Hamilton's Santa Claus for his Operation Santa Claus that provided gifts for children at Christmas for 50 years. Lomax started Operation Santa Claus at the age of 15 by handing out candy to sick children in hospitals. He built it up to a point that the group raised more than $200,000 in gifts per year to benefit about 80,000 people.","Jimmy Lomax Beach Boulevard Park was renamed in 2011 after previously being called Beach Boulevard Park No. 2. Lomax lived on the Beach Strip."
"11/20/2012","JIMMY THOMPSON POOL","Jimmy Thompson Pool is at 1099 King St. E. in Hamilton.","Thompson (1906 to 1966) was a competitive swimmer, as well as an aquatics coach and teacher.","A member of the Canadian Olympic swimming team that competed in the 1928 Games in Amsterdam, he won a bronze medal for the 880-yard freestyle race. In 1932, he came to Hamilton, where he worked as an aquatics coach and swimming instructor. Over the years, he taught tens of thousands of young people how to swim in classes that would sometimes see more than 300 students."
"12/4/2012","John C. Munro Hamilton International Airport is in Mount Hope.","John Carr Munro (1931 to 2003), one of Hamilton's best known Liberal MPs, served in Pierre Trudeau's cabinet.","Munro was first elected to the House of Commons in 1962. He served continuously in the riding of Hamilton East until 1984, after losing his bid to lead the Liberal Party of Canada.",
"1/17/2013","JOHN SANTARELLI PLATEAU PARK","John Santarelli Plateau Park is at 4 Millen Rd.","Santarelli (1951 to 2008) was a councillor in the former city of Stoney Creek who died of cancer on Sept. 1, 2008.","Santarelli, who was also a math teacher with the Catholic school board, is remembered as a sports lover who was a longtime chair of Stoney Creek's parks and recreation committee."
"11/26/2012","JOHN SOPINKA COURTHOUSE","The John Sopinka Courthouse is on Main Street East in Hamilton.","John Sopinka (1933-1997) was a Supreme Court of Canada justice.","Sopinka came to Hamilton as a boy in 1939, later moving to Stoney Creek where he graduated from Saltfleet high school. While attending law school, he played football with the Toronto Argonauts and the Montreal Alouettes. His appointment to the Supreme Court in 1988 was a surprise to many because he had no prior experience as a judge with a lower court."
"10/19/2012","JOHN WEIR FOOTE V.C. ARMOURIES","The John Weir Foote V.C. Armouries on James Street North is the site of operations for the Royal Hamilton Light Infantry (RHLI), the Argyll and Sutherland Highlanders of Canada (Princess Louise's) and other organizations.","John Weir Foote was a chaplain with the RHLI during the Second World War, a Victoria Cross recipient and later in life served as an MPP in Durham.","Foote received the Victoria Cross for his heroic efforts helping wounded soldiers on the beach of Dieppe in the ill-fated raid by the Allied forces in 1942."
"9/19/2012","JOLLEY CUT","The Jolley Cut is a Hamilton Mountain access route that runs from Arkledun Avenue to Upper Wellington Street.","James Jolley came to Hamilton in the mid-1800s and established a successful saddle and harness business.","He built a stone house called Bellemont on Concession Street on the Mountain brow because he thought the better air quality above the city would help his wife Sophia's ill health, according to the book Hamilton Street Names by Margaret Houghton. Jolley built a road down the Mountain out of what had originally been a pedestrian pathway. Eventually, he handed the road over to the city and to this day the much upgraded Mountain access carries his name."
"3/13/2013","JONES ROAD","Jones Road in Stoney Creek runs between the Niagara Escarpment and Lake Ontario. Its northern leg is severed by the Queen Elizabeth Way.","Jones Road is named for a family which came to the area in 1789 and whose patriarch surveyed what was then Saltfleet Township.","Augustus Jones was born in New York State circa 1763 and was appointed deputy surveyor. According to Saltfleet Then and Now 1792-1973, he was given 485 hectares of land in Saltfleet after he set up it for settlers into lots and concessions. He married a native chief's daughter in 1798 and they had 10 children. He served with the 5th Lincoln Regiment during the War of 1812 and died in 1836. He had seven siblings who settled in Saltfleet and a brother, Ebenezer, also worked as a land surveyor."
"4/1/2013","JURAVINSKI HOSPITAL AND CANCER CENTRE","The Juravinski Hospital and Cancer Centre is on Concession Street on Hamilton Mountain.","Charles and Margaret Juravinski donated $28 million to Hamilton Health Sciences, which administers the hospital. In 2010, HHS changed the name of the hospital in recognition of that gift and others in the community. The facility was previously known as the Henderson Hospital, named after Nora Frances Henderson, the first woman on Hamilton city council.","The Juravinskis have been dubbed ""philanthropists of the decade"" after making multimillion-dollar donations to numerous health care fundraising campaigns. These include more than $10 million to help build the Margaret and Charles Juravinski Centre for Integrated Health Care at St. Joseph’s Healthcare’s West 5th Street campus. Charles Juravinski made his fortune as owner of the Flamboro Downs racetrack."
"1/14/2013","KAY DRAGE PARK","Kay Drage Park, at 80 Macklin St. N., is a former landfill site converted into soccer and baseball fields.","Drage was a Hamilton alderman who died of cancer in 1978. She was 53.","Drage was a popular alderman who represented Ward 1 for a couple of years up until her death. Her husband, Paul Drage, ran successfully to replace his wife. He was the driving force behind turning the former dump into a park, instead of a station for GO-ALRT (Government of Ontario Advanced Light Rail Transit), a transit system idea that was eventually abandoned by the provincial government. Paul Drage died in 1985."
"7/18/2013","KERNS ROAD","Kerns Road is in Burlington and runs north-south between Dundas Street (Highway 5) and the North Service Road.","It was named for the Kerns family, who moved to the area in the early 1800s.","The book Burlington's Streets by the Burlington Historical Society says Jacob Kerns owned 85 hectares of land - the west boundary is the north end of Kerns Road. Nicholas Kerns had a farm on the east side of Brant Street, from the Queen Elizabeth Way to just north of Upper Middle Road. The southern end of Kerns Road was once the laneway to the farm of Wilber Kerns. The book says the road was named in 1968."
"4/6/2013","KILMER DRIVE","Kilmer Drive runs off Walkers Line in Burlington.","Sergeant Alfred Joyce Kilmer (1889-1918) was a poet and author born in New Jersey is the United States.","Kilmer died from a sniper's bullet in the First World War. He was awarded the French Croix de Guerre honour for bravery."
"7/27/2013","Kinrade Avenue","Kinrade runs north/south between Barton and Cannon streets east in the east end.","Thomas Kinrade was an entrepreneur and principal of the Cannon Street School.","According to the Hamilton Street Names book, Ernest Kinrade (Thomas's son) lived on the street, which was named after the family for their successful construction business. Thomas lived with his family across the city on Herkimer Street - his daughter, Ethel, was murdered in the family home on 1909."
"10/26/2012","Kitty Murray Lane","Kitty Murray Lane runs between Golf Links Road and Garner Road in Ancaster","Reclusive widow Kitty Murray lived alone until her death in 1909.","The road was given the name by a municipal councillor to remember Murray, who lived for many years on what had been a concession road. Murray's former house has since been torn down."
"9/5/2013","LASALLE PARK","LaSalle Park is in the Aldershot area of Burlington at LaSalle Park Road and Northshore Boulevard East.","The park is named for French explorer René-Robert Cavelier, Sieur de La Salle, who is believed to have landed at the site in 1669. It was built in 1915 by the Hamilton Parks Board and initially called Wabasso Park. It was renamed LaSalle Park in 1926. The park is leased to Burlington.","La Salle (1643 to 1687) came to New France (Montreal) in 1667 and became interested in exploring when told by natives of rivers and valleys farther west. He led three expeditions in the late 1600s, covered much of the Great Lakes basin and U.S. Midwest and found the mouth of the Mississippi River. He claimed what became known as Louisiana for King Louis XIV. He was killed on an expedition in what is now Texas."
"6/22/2013","LAURIER AVENUE","Laurier Avenue is near West 5th and Mohawk on the Mountain.","Sir Wilfred Laurier (1841 to 1919) was prime minister of Canada from 1896 to 1911.","Laurier was Canada's first francophone prime minster and is the fourth-longest serving prime minister, behind William Lyon Mackenzie King, John A. Macdonald, and Pierre Trudeau. He is remembered for his oratory skill and statesmanship and argued for an English-French conciliation and decentralization of the federal government."
"2/28/2013","LAWRENCE P. SAYERS PARK","Lawrence P. Sayers Park is located at 39 Lakegate Dr. in Stoney Creek.","Lawrence (Larry) Sayers, 24, of Stoney Creek, died after Korean Air Lines Flight 7 was shot down by two Soviet-fired missiles on Sept. 1, 1983.","Sayers was one of 269 passengers on the flight from New York to Seoul who died after the plane crept into Soviet Union airspace and was intercepted and shot down by Soviet fighters. Sayers was on his way to Hong Kong to start a teaching job."
"8/9/2013","LECKIE PARK","Leckie Park is a neighbourhood in upper Stoney Creek, near the community of Elfrida.","It is named for City of Hamilton engineer Campbell Leckie.","According to the Dictionary of Hamilton Biography, Leckie first worked at the City Disposal Works in 1897, becoming chief engineer in 1904. He remained on the job until 1922. Leckie was born in Glasgow, Scotland, in 1848 and became a marine engineer on ships in the Atlantic. He came to Hamilton in 1873 and got a job with the Grand Trunk Railway. He died in 1925."
"5/4/2013","Leeming Road","Leeming Road is about 2 km south of White Church Road, off Hwy. 6 on Hamilton Mountain","It's a tribute to the Leeming family, who came from England in the early 1800s, notes the book Hamilton Street Names.","Reverend Ralph Leeming was the first rector of St. John's Anglican Church in Ancaster, and his brother William became the rector of Trinity Church at Chippawa. Their brother, Braithwaite, followed and obtained land in Glanford, where he married Phoebe Land, the daughter of one of Hamilton's first settlers."
"6/3/2013","Lewis Road","Lewis Road in Stoney Creek runs between the lake and the escarpment.","Levi Lewis (1762 to 1828) was a United Empire Loyalist who came to the Grimsby area in 1787 with his family from New Jersey.","Lewis worked as a farmer and politician in pre-Confederation Canada. From 1808 to 1812, he served in the Legislative Assembly of Upper Canada. His son, also named Levi, was a reeve of Saltfleet Township. The family built what came to be known as Lewis House on Lewis Road."
"5/25/2013","Limeridge Road","Limeridge Road runs east-west across the Mountain, just north of the Lincoln Alexander Parkway.","Limeridge is a reference to a limestone ridge on the Mountain near where Limeridge Road runs today.","From the mid 1800s to the mid 1900s, limestone was quarried from the area, most notably by the Marshall and Gallagher families, according to the book Hamilton Street Names, an Illustrated Guide by Margaret Houghton."
"10/9/2012","LINCOLN M. ALEXANDER PARKWAY","The Lincoln M. Alexander Parkway, nicknamed The Linc, connects Highway 403 to the Red Hill Valley Parkway as well as Mud Street. It opened in 1997.","Lincoln Alexander, now 90, was a Progressive Conservative MP and former Lieutenant- Governor of Ontario among many other accomplishments.","After the construction of the expressway, a number of names were suggested. But the one that stuck was Lincoln Alexander. And while his nickname, Linc, was perfect to describe the new thoroughfare that ""links"" both ends of the city, many observed the name was ironic because Alexander had never held a driver's license."
"7/3/2013","LISGAR NEIGHBOURHOOD","Lisgar is bounded by Mohawk Road East, Limeridge Road East, Upper Kenilworth Avenue and Upper Ottawa Street.","Lord Lisgar (Sir John Young, 1807 to 1876) was Canada's second governor general.","He was an Irish nobleman and lawyer known for his outspoken opinions. He served from 1869 to 1872 as governor general during the tumultuous Red River Rebellion led by Louis Riel. He was the first Canadian governor general to travel to the United States. During the trip he met with President Ulysses S. Grant for discussions about a rail link between the two countries."
"3/11/2013","Lisgar School","On Anson Avenue, near Upper Ottawa Street and Mohawk Road East.","It is named for Sir John Lisgar, one of the country's earliest governors general.","Lisgar, previously a lawyer, was Canada's second GG, serving from 1869 to 1872, at which time he returned to his native Ireland. The Hamilton school - one of several in the country to honour him - opened in 1964."
"5/8/2013","LISTER BLOCK","The Lister Block is at the corner of James North and King William.","The building is named for its original owner, Joseph Lister, who was a merchant, clothier, school trustee and member of the Board of Water Commissioners.","The original Lister building was built in 1886 as Canada's first indoor commercial mall before it was destroyed by fire in February 1923. The next year, a new Lister building was constructed and opened. But by the end of the century, the building was slipping into disrepair and eventually vacated. Recently, a multimillion-dollar restoration put the building back into use, primarily as office space for City of Hamilton employers."
"5/14/2013","LIUNA Station","LIUNA Station is at James Street North and Murray Street.","LIUNA (Laborers' International Union of North America) bought and renovated what used to be a Canadian National Railway station.","The station was built between 1929 and 1931 by the CNR and played a key role in Hamilton's history. It was known as the place of entry for immigrants arriving in the city and where local soldiers left to go to war. In 1993, the station closed, with LIUNA eventually buying and refurbishing the building to open a ballroom and banquet facility in 2000."
"9/21/2012","Lloyd D. Jackson square","Lloyd D. Jackson Square, in downtown Hamilton, was opened in 1970 as part of a major urban renewal plan for the core.","Lloyd D. Jackson (1888-1973) was mayor of Hamilton from 1950 to 1962.","Naming the giant retail mall Jackson Square was fitting because the longtime mayor was such a staunch supporter of downtown urban renewal. During his time as mayor, City Hall moved from James Street North to its present site on Main Street West and the move set the stage for developments that followed, such as Jackson Square."
"5/27/2013","Lockhart Road","Lockhart Road runs off Maple Avenue near North Shore Boulevard East in Burlington.","John Lockhart, who died in 1986 at the age of 93, was a mayor of Burlington from 1957 to 1961.","A few years after retiring from a 35-year career as a principal and teacher at Central Public High School in Burlington, he was urged to run for mayor. And while his time at the post was relatively short - four years - he is remembered for quickly overcoming his lack of political experience and running a smooth council. "
"11/29/2012","Lover's Lane","Lover's Lane in Ancaster runs north-south between Sulphur Springs and Jerseyville roads.","Stems from a tragic love story.","In 1833, Colonel Otto Ives had his sister-in-law over for a visit at his farm on Sulphur Springs Road, known today as The Hermitage. According to the book Hamilton Street Names by Margaret Houghton, the family coachman was asked to teach English to the Greek woman, whose name is not known, and he fell in love with her. Ives forbade them to marry and the coachman took his own life in the stables. Ives ordered the body taken off the property and it was buried at the corner of Sulphur Springs and Lover's Lane. Legend claims the ghost of the coachman still walks Lover's Lane."
"1/4/2013","Lower/Upper Horning Road","Lower Horning Road runs from Carwyn Crescent to Ramsay Crescent. Upper Horning Road runs between Mohawk Road West and Greenguild Avenue. It is divided by the Lincoln M. Alexander Parkway.","The roads are named for the Horning family, who came to this area from Pennsylvania in the 1780s.","Patriarch Peter Horning, born in 1740, came to the area in 1789, following in the footsteps of his sons, Isaac and Abraham. Peter became a large landholder in Hamilton. Both of his sons settled and farmed in the western part of Barton Township, which once encircled Hamilton like a horseshoe. The last of the township was annexed by the city in 1960 and faded into history."
"6/6/2013","LUCY DAY PARK","The park is at 33 Clinton Street, near Barnesdale Avenue North.","Lucy Day (1918 to 1966) lived across from the property that later became the park.","She was known for telling stories to children on her porch, and looking out for their safety. Through the 1940s and '50s, she pushed to have the park developed. But she died before the park was built."
"9/9/2013","Lynden","Lynden is a village at Governor's Road (Regional Road 99/Highway 99) and Lynden Road, just west of Copetown.","It was named for a town in Vermont.","The community was first settled in the 1840s and was originally called Vansickle after a local family. According to the 1970 book Ancaster's Heritage, a meeting was held in 1852 in a log school house to give the settlement a new name. Jeremiah Bishop (1795-1885), who came to the area in 1816 from Vermont, suggested naming it after a ""pretty little town"" called Lynden not far from his hometown of St. Johnsbury. The gathering approved, and Lynden was born."
"4/23/2013","M.M. ROBINSON HIGH SCHOOL","M.M. Robinson High School is at 2425 Upper Middle Rd. in Burlington","The school was named after Melville Marks (Bobby) Robinson (1888 to 1974), who is best known for founding the British Empire Games, later known as the Commonwealth Games.","Robinson was a well-liked man of many accomplishments. He was sports editor of this newspaper in 1930 when he founded the Games and was later inducted into the Sports Hall of Fame. Robinson was also a Burlington area fruit farmer who founded the Ontario Food Council, and served as chair of the Burlington Board of Education."
"4/22/2013","Macassa Avenue","Macassa Avenue is on the east Mountain, running east/west between Upper Gage and Upper Sherman avenues.","Macassa is an aboriginal word meaning ""beautiful water.""","According to the book Hamilton Street Names, the name Macassa was applied to the bay and to steamers and ferry boats by the earliest settlers, and then was adopted by a city-operated nursing home on the bay at the foot of John Street. When the nursing home moved to the east Mountain in 1954, the name went with it and was also given to the street."
"3/5/2013","MACKLIN STREET","Macklin Street runs from Main Street West to Princess Point.","James C. Macklin, who died at the age of 69 in 1890, was a landowner in the west of Hamilton in the late 19th century.","Macklin worked as a salesman with a dry goods and groceries company, the same company where his father worked, according to local historian Margaret Houghton. She says local census records indicate Macklin lived with his wife, Sarah, and their seven children in west Hamilton."
"12/20/2012","MacNab Street","MacNab runs between Markland and Guise streets.","Sir Allan Napier MacNab (1798 to 1862) was a lawyer, politician and soldier, and is most known for building his homestead, Dundurn Castle, which still stands today.","MacNab fought in the War of 1812 at the age of 14 and settled in Hamilton in 1826 as the community's first lawyer. He was elected to the legislature a couple of years later, worked as speaker for a time and then served as premier of the Province of Canada from 1854 to 1856."
"4/29/2013","Magill Street","Magill Street runs between York Boulevard and Barton Street near Dundurn Park.","Charles Magill (1816 to 1898) was elected as member for Hamilton in Canada's first parliament in 1867. He also served as the city's mayor from 1854-55, 1865-66 and 1882-83.","Magill was born in Ireland and came to Upper Canada in 1832 with his family. He had a wide range of postings. As well as being mayor and an MP, he served at various times as chairman of the board of health, a justice of the peace, chairman of the board of water commissioners and a lieutenant-colonel in the militia."
"8/24/2013","MAHONY PARK","It's located at Barton Street East and Adeline Avenue.","Thomas Joseph Mahony (1880-1961) was a member of Hamilton city council and the managing director of the Ontario Good Roads Association.","Mahony was known as ""Mr. Good Roads"" for his enthusiastic promotion of road construction and maintenance. The International Road Federation named him Man of the Year in 1954. For a time, the park was renamed Crerar Park after General Henry Crerar, a revered Second World War military leader from Hamilton. But in 1983, the name Mahony was restored."
"1/16/2013","MARK ANTHONY GRAHAM MEMORIAL PARK","Mark Anthony Graham Memorial Olympic Park is at 948 Mohawk Rd. W.","Graham, 33, was an Olympic athlete and Canadian soldier who died in Afghanistan on Sept. 4, 2006, when American A-10 Thunderbolts mistook his platoon for Taliban insurgents and fired on it.","Graham grew up in Hamilton, attending Sir Allan MacNab Secondary School where he distinguished himself in track and field. In September 2009, a plaque was unveiled at Olympic Park in honour of Graham, who served with the Royal Canadian Regiment."
"10/18/2012","MARK PREECE FAMILY HOUSE","Mark Preece Family House, at 191 Barton St. E. next to the Hamilton General Hospital, is a place to stay for out-of-town families of patients receiving serious care at Hamilton area hospitals.","Dr. Mark Preece (1959 to 1997) was an ICU physician at the Hamilton General Hospital who died of complications from melanoma.","Preece underwent experimental cancer treatment in Pittsburgh in 1997, where his family stayed in a special residence for families of patients. After he died, family and friends thought Hamilton could use a similar facility. After more than a dozen years of fundraising and a major fire in 2008, the facility finally opened in 2011."
"7/22/2013","Market Street","Market Street runs east-west between Bay Street North and Ray Street.","After the Hamilton Farmers Market was born, a market hall was built in 1838-39 that became the town hall. The street leading from the west into the new market was called Market Place Drive, later shortened to Market Street.","One of the earliest streets in the police village of Hamilton, Market used to extend from Sophia Street (now Strathcona Street) east to MacNab Street North. The street was bisected between Ray and Pearl streets in 1865. The west side was renamed Little Market Street, now Morden Street, while the east block was swallowed up by the construction of Lloyd D. Jackson Square in the 1960s, according to the book Hamilton Street Names."
